DYSTRYBUTOR,DATA,MODEL,ODPOWIEDNIK,CENA KATALOGOWA NETTO,CENA SKLEPU INTERNETOWEGO NETTO,RABAT,CENA KATALOGOWA PO RABACIE,WYSOKOŚĆ,SZEROKOŚĆ,GŁĘBOKOŚĆ,CECHY CHARAKTERYSTYCZNE,ŹRÓDŁO,CZAS REALIZACJI [dni],GWARANCJA [miesiące],msg
Bakpol,06/06/2022,SKA4/2 szafa kartotekowa,SZK 101,,1104,,,,,,"Powyższe zestawienia kolorystyczne mebli są przykładowe. Zarówno fronty, jak i korpusy dostępne są w dowolnym kolorze z palety RAL.W ramach naszych usług oferujemy DARMOWE WIZUALIZACJE wybranych zestawień kolorów.Wszystkie wyroby produkowane są zgodnie z międzynarodową normą jakości ISO 9001:2008, ISO 14001:2005, zgodnie z dyrektywami CE oraz zgodnie z Polskimi Normami.Kategoria meble metalowe: szafa kartotekowa, szafa na kartoteki A4, szafa na zawieszki, szafa biurowa, szafa na aktaOpis: solidna konstrukcja stalowa z wysokiej jakości blachy europejskich producentów, dwie szuflady na kartoteki A4 zawieszane poziomo, szuflady osadzone na prowadnicach teleskopowych z łożyskami kulkowymi, szuflady z pełnym wysuwem, łatwość utrzymania czystości dzięki gładkiej, jednolitej powierzchniZamknięcie: szafa zamykana zamkiem centralnymWymiary: wysokość 710mm, szerokość 415mm, głębokość 630mmKolorystyka: dostępna cała paleta RAL, farby z atestem PZH wiodących europejskich producentówMożliwe wyposażenie: teczki zawieszane A4, daszek skośny, szuflada, organizer szuflady, pojemniki, przegroda szuflady, przegroda wewnętrzna, inny rodzaj prowadnic, dodatkowa wentylacja lub perforacja, kółka, nóżki, stópki poziomujące, numeracja szuflad, opaska na kluczyk, klucz master, kotwy do ścian lub podłogi, wykonanie z innego rodzaju lub grubości blachy, inny rodzaj farby, inny rodzaj zamka np. kłódkowy, 3-punktowy, elektroniczny, magnesowy, depozytowy, szyfrowy lub inne",https://bakpol.pl/szafy-na-kartoteki/797-ska4-2-szafa-kartotekowa.html,,2 lata,
Bakpol,06/06/2022,SKA4/3 szafa kartotekowa,SZK 201,,1368,,,,,,"Powyższe zestawienia kolorystyczne mebli są przykładowe. Zarówno fronty, jak i korpusy dostępne są w dowolnym kolorze z palety RAL.W ramach naszych usług oferujemy DARMOWE WIZUALIZACJE wybranych zestawień kolorów.Wszystkie wyroby produkowane są zgodnie z międzynarodową normą jakości ISO 9001:2008, ISO 14001:2005, zgodnie z dyrektywami CE oraz zgodnie z Polskimi Normami.Kategoria meble metalowe: szafa kartotekowa, szafa na kartoteki A4, szafa na zawieszki, szafa biurowa, szafa na aktaOpis: solidna konstrukcja stalowa z wysokiej jakości blachy europejskich producentów, trzy szuflady na kartoteki A4 zawieszane poziomo, szuflady osadzone na prowadnicach teleskopowych z łożyskami kulkowymi, szuflady z pełnym wysuwem, łatwość utrzymania czystości dzięki gładkiej, jednolitej powierzchniZamknięcie: szafa zamykana zamkiem centralnymWymiary: wysokość 995mm, szerokość 415mm, głębokość 630mmKolorystyka: dostępna cała paleta RAL, farby z atestem PZH wiodących europejskich producentówMożliwe wyposażenie: teczki zawieszane A4, daszek skośny, szuflada, organizer szuflady, pojemniki, przegroda szuflady, przegroda wewnętrzna, inny rodzaj prowadnic, dodatkowa wentylacja lub perforacja, kółka, nóżki, stópki poziomujące, numeracja szuflad, opaska na kluczyk, klucz master, kotwy do ścian lub podłogi, wykonanie z innego rodzaju lub grubości blachy, inny rodzaj farby, inny rodzaj zamka np. kłódkowy, 3-punktowy, elektroniczny, magnesowy, depozytowy, szyfrowy lub inne",https://bakpol.pl/szafy-na-kartoteki/798-ska4-3-szafa-kartotekowa.html,,2 lata,
Bakpol,06/06/2022,SKA4/4 szafa kartotekowa,SZK 301,,1632,,,,,,"Powyższe zestawienia kolorystyczne mebli są przykładowe. Zarówno fronty, jak i korpusy dostępne są w dowolnym kolorze z palety RAL.W ramach naszych usług oferujemy DARMOWE WIZUALIZACJE wybranych zestawień kolorów.Wszystkie wyroby produkowane są zgodnie z międzynarodową normą jakości ISO 9001:2008, ISO 14001:2005, zgodnie z dyrektywami CE oraz zgodnie z Polskimi Normami.Kategoria meble metalowe: szafa kartotekowa, szafa na kartoteki A4, szafa na zawieszki, szafa biurowa, szafa na aktaOpis: solidna konstrukcja stalowa z wysokiej jakości blachy europejskich producentów, cztery szuflady na kartoteki A4 zawieszane poziomo, szuflady osadzone na prowadnicach teleskopowych z łożyskami kulkowymi, szuflady z pełnym wysuwem, łatwość utrzymania czystości dzięki gładkiej, jednolitej powierzchniZamknięcie: szafa zamykana zamkiem centralnymWymiary: wysokość 1280mm, szerokość 415mm, głębokość 630mmKolorystyka: dostępna cała paleta RAL, farby z atestem PZH wiodących europejskich producentówMożliwe wyposażenie: teczki zawieszane A4, daszek skośny, szuflada, organizer szuflady, pojemniki, przegroda szuflady, przegroda wewnętrzna, inny rodzaj prowadnic, dodatkowa wentylacja lub perforacja, kółka, nóżki, stópki poziomujące, numeracja szuflad, opaska na kluczyk, klucz master, kotwy do ścian lub podłogi, wykonanie z innego rodzaju lub grubości blachy, inny rodzaj farby, inny rodzaj zamka np. kłódkowy, 3-punktowy, elektroniczny, magnesowy, depozytowy, szyfrowy lub inne",https://bakpol.pl/szafy-na-kartoteki/799-ska4-4-szafa-kartotekowa.html,,2 lata,
Bakpol,06/06/2022,SKA5/4xV - Szafa kartotekowa,SZK 305,,2532,,,,,,"Kategoria: szafa kartotekowa, szafa na kartoteki A5, szafa na zawieszki, szafa biurowa, szafa na aktaZamknięcie: szuflady zamykane zamkiem, do zamka dwa klucze w komplecie, zamek w systemie klucza master, blokada wysuwu więcej niż jednej szuflady, centralne ryglowanieWymiary: wysokość 1280mm, szerokość 745mm, głębokość 630mm lub NA WYMIARKolorystyka: dostepna cała paleta RAL, farby z atestem PZH wiodących europejskich producentówOpis: solidna konstrukcja stalowa z wysokiej jakości blachy europejskich producentów, cztery szuflady na kartoteki A5 zawieszane pionowo, przystosowana pod 4 rzędy kartotek, szuflady osadzone na prowadnicach teleskopowych z łożyskami kulkowymi, szuflady z pełnym wysuwem, łatwość utrzymania czystości dzięki gładkiej, jednolitej powierzchniMożliwe wyposażenie: teczki zawieszane A5, daszek skośny, szuflada, organizer szuflady, pojemniki, przegroda szuflady, przegroda wewnętrzna,inny rodzaj prowadnic, wentylacja, perforacje, nóżki, kółka, stópki poziomujące, numeracja drzwi, opaska na kluczyk, klucz master, drzwi pleksi,kotwy do ścian lub podłogi, haczyk, wykonanie z innego rodzaju lub grubości blachy, inny rodzaj farby, inny rodzaj zamka np. kłódkowy, 3-punktowy, elektroniczny, magnesowy, depozytowy, szyfrowy lub inne",https://bakpol.pl/szafy-na-kartoteki/2215-ska54xv-szafa-kartotekowa.html,,2 lata,
Bakpol,06/06/2022,SKA4/4X - Szafa kartotekowa,SZK 302,,2268,,,,,,"Kategoria: szafa kartotekowa, szafa na kartoteki A4, szafa na zawieszki, szafa biurowa, szafa na aktaZamknięcie: szuflady zamykane zamkiem, do zamka dwa klucze w komplecie, zamek w systemie klucza master, blokada wysuwu więcej niż jednej szuflady, centralne ryglowanieWymiary: wysokość 1280mm, szerokość 770mm, głębokość 630mm lub NA WYMIARKolorystyka: dostepna cała paleta RAL, farby z atestem PZH wiodących europejskich producentówOpis: solidna konstrukcja stalowa z wysokiej jakości blachy europejskich producentów, cztery szuflady na kartoteki A4 zawieszane poziomo, przystosowana pod 2 rzędy kartotek, szuflady osadzone na prowadnicach teleskopowych z łożyskami kulkowymi, szuflady z pełnym wysuwem, łatwość utrzymania czystości dzięki gładkiej, jednolitej powierzchniMożliwe wyposażenie: teczki zawieszane A4, daszek skośny, szuflada, organizer szuflady, pojemniki, przegroda szuflady, przegroda wewnętrzna,inny rodzaj prowadnic, wentylacja, perforacje, nóżki, kółka, stópki poziomujące, numeracja drzwi, opaska na kluczyk, klucz master, drzwi pleksi,kotwy do ścian lub podłogi, haczyk, wykonanie z innego rodzaju lub grubości blachy, inny rodzaj farby, inny rodzaj zamka np. kłódkowy, 3-punktowy, elektroniczny, magnesowy, depozytowy, szyfrowy lub inne",https://bakpol.pl/szafy-na-kartoteki/2216-ska44x-szafa-kartotekowa.html,,2 lata,
Bakpol,06/06/2022,SZ1000/5 szafa żaluzjowa,SBM 208,,2688,,,,,,"Powyższe zestawienia kolorystyczne mebli są przykładowe.Zarówno fronty, jak i korpusy dostępne są w dowolnym kolorze z palety RAL.W ramach naszych usług oferujemy DARMOWE WIZUALIZACJE wybranych zestawień kolorów.Wszystkie wyroby produkowane są zgodnie z międzynarodową normą jakości ISO 9001:2008, ISO 14001:2005, zgodnie z dyrektywami CE oraz zgodnie z Polskimi Normami.Kategoria: szafa żaluzjowa, szafa biurowa, szafa na segregatoryZamknięcie: drzwi zamykane zamkiem cylindrycznym renomowanego producenta, do każdego zamka dwa klucze w komplecie, zamek w systemie klucza masterWymiary: wysokość 1950mm, szerokość 1000mm, głębokość 500mm lub NA WYMIARKolorystyka: drzwi żaluzjowe w kolorze popielatym RAL7035, kolor korpusu szafy dostępny z całej palety RAL, farby z atestem PZH wiodących europejskich producentówOpis: solidna konstrukcja stalowa z wysokiej jakości blachy europejskich producentów, drzwi żaluzjowe wykonane z wysokiej jakości tworzywa sztucznego, szafa wyposażona w cztery wyciągane, regulowane co 35mm półki staloweMożliwe wyposażenie: daszek skośny, nóżki, stópki poziomujące, numeracja drzwi, opaska na kluczyk, klucz master, drzwi pleksi, kotwy do ścian lub podłogi, drążek na wieszaczki na ubrania, lusterko, haczyk, wykonanie z innego rodzaju lub grubości blachy, inny rodzaj farby, inny rodzaj zamka np. kłódkowy, 3-punktowy, elektroniczny, magnesowy, depozytowy, szyfrowy lub inne",https://bakpol.pl/szafy-zaluzjowe/2203-sz10005-szafa-zaluzjowa.html,,2 lata,
Bakpol,06/06/2022,SZ1200/6 szafa żaluzjowa,SBM 217,,2952,,,,,,"Powyższe zestawienia kolorystyczne mebli są przykładowe.Zarówno fronty, jak i korpusy dostępne są w dowolnym kolorze z palety RAL.W ramach naszych usług oferujemy DARMOWE WIZUALIZACJE wybranych zestawień kolorów.Wszystkie wyroby produkowane są zgodnie z międzynarodową normą jakości ISO 9001:2008, ISO 14001:2005, zgodnie z dyrektywami CE oraz zgodnie z Polskimi Normami.Kategoria: szafa żaluzjowa, szafa biurowa, szafa na segregatoryZamknięcie: drzwi zamykane zamkiem cylindrycznym renomowanego producenta, do każdego zamka dwa klucze w komplecie, zamek w systemie klucza masterWymiary: wysokość 1950mm, szerokość 1200mm, głębokość 600mm lub NA WYMIARKolorystyka: drzwi żaluzjowe w kolorze popielatym RAL7035, kolor korpusu szafy dostępny z całej palety RAL, farby z atestem PZH wiodących europejskich producentówOpis: solidna konstrukcja stalowa z wysokiej jakości blachy europejskich producentów, drzwi żaluzjowe wykonane z wysokiej jakości tworzywa sztucznego, szafa wyposażona w cztery wyciągane, regulowane co 35mm półki staloweMożliwe wyposażenie: daszek skośny, nóżki, stópki poziomujące, numeracja drzwi, opaska na kluczyk, klucz master, drzwi pleksi, kotwy do ścian lub podłogi, drążek na wieszaczki na ubrania, lusterko, haczyk, wykonanie z innego rodzaju lub grubości blachy, inny rodzaj farby, inny rodzaj zamka np. kłódkowy, 3-punktowy, elektroniczny, magnesowy, depozytowy, szyfrowy lub inne",https://bakpol.pl/szafy-zaluzjowe/2204-sz12006-szafa-zaluzjowa.html,,2 lata,
Bakpol,06/06/2022,KZ1000/5 szafa żaluzjowa,SBM 105,,2004,,,,,,"Powyższe zestawienia kolorystyczne mebli są przykładowe.Zarówno fronty, jak i korpusy dostępne są w dowolnym kolorze z palety RAL.W ramach naszych usług oferujemy DARMOWE WIZUALIZACJE wybranych zestawień kolorów.Wszystkie wyroby produkowane są zgodnie z międzynarodową normą jakości ISO 9001:2008, ISO 14001:2005, zgodnie z dyrektywami CE oraz zgodnie z Polskimi Normami.Kategoria: szafa żaluzjowa, szafa biurowa, szafa na segregatoryZamknięcie: drzwi zamykane zamkiem cylindrycznym, do każdego zamka dwa klucze w komplecieWymiary: wysokość 1250mm, szerokość 1000mm, głębokość 500mm lub NA WYMIARKolorystyka: drzwi żaluzjowe w kolorze popielatym RAL7035, kolor korpusu szafy dostępny z całej palety RAL, farby z atestem PZH wiodących europejskich producentówOpis: solidna konstrukcja stalowa z wysokiej jakości blachy europejskich producentów, drzwi żaluzjowe wykonane z wysokiej jakości tworzywa sztucznego, szafa wyposażona w dwie wyciągane, regulowane co 35mm półki staloweMożliwe wyposażenie: kółka, stópki poziomujące, numeracja drzwi, opaska na kluczyk, klucz master, kotwy do ścian lub podłogi, drążek na wieszaczki na ubrania, lusterko, haczyk, wykonanie z innego rodzaju lub grubości blachy, inny rodzaj farby",https://bakpol.pl/szafy-zaluzjowe/2206-kz10005-szafa-zaluzjowa.html,,2 lata,
Bakpol,06/06/2022,KZ1200/6 szafa żaluzjowa,SBM 109,,2184,,,,,,"Powyższe zestawienia kolorystyczne mebli są przykładowe.Zarówno fronty, jak i korpusy dostępne są w dowolnym kolorze z palety RAL.W ramach naszych usług oferujemy DARMOWE WIZUALIZACJE wybranych zestawień kolorów.Wszystkie wyroby produkowane są zgodnie z międzynarodową normą jakości ISO 9001:2008, ISO 14001:2005, zgodnie z dyrektywami CE oraz zgodnie z Polskimi Normami.Kategoria: szafa żaluzjowa, szafa biurowa, szafa na segregatoryZamknięcie: drzwi zamykane zamkiem cylindrycznym, do każdego zamka dwa klucze w komplecieWymiary: wysokość 1250mm, szerokość 1200mm, głębokość 600mm lub NA WYMIARKolorystyka: drzwi żaluzjowe w kolorze popielatym RAL7035, kolor korpusu szafy dostępny z całej palety RAL, farby z atestem PZH wiodących europejskich producentówOpis: solidna konstrukcja stalowa z wysokiej jakości blachy europejskich producentów, drzwi żaluzjowe wykonane z wysokiej jakości tworzywa sztucznego, szafa wyposażona w dwie wyciągane, regulowane co 35mm półki staloweMożliwe wyposażenie: kółka, stópki poziomujące, numeracja drzwi, opaska na kluczyk, klucz master, kotwy do ścian lub podłogi, drążek na wieszaczki na ubrania, lusterko, haczyk, wykonanie z innego rodzaju lub grubości blachy, inny rodzaj farby",https://bakpol.pl/szafy-zaluzjowe/2207-kz12006-szafa-zaluzjowa.html,,2 lata,
Bakpol,06/06/2022,NSZ1000/5 szafa żaluzjowa,SBM 404,,1416,,,,,,"Szafa żaluzjowa NSZ1000/5Wysokiej jakości, bardzo funkcjonalna i solidnie wykonana szafa żaluzjowa doskonale nadaje się do przechowywania w biurze najważniejszych dokumentów. Jej drzwiczki zostały wyposażone w bezpieczny zamek cylindryczny, do którego zawsze dołączane są dwa klucze.",https://bakpol.pl/szafy-zaluzjowe/2209-nsz10005-szafa-zaluzjowa.html,,2 lata,
